1	Friendship is Magic, part 1	3106	355
2	Friendship is Magic, part 2	2507	349
3	The Ticket Master	3264	364
4	Applebuck Season	2657	315
5	Griffon the Brush Off	2870	333
6	Boast Busters	2726	342
7	Dragonshy	2695	369
8	Look Before You Sleep	2671	305
9	Bridle Gossip	3004	348
10	Swarm of the Century	2362	275
11	Winter Wrap Up	2795	413
12	Call of the Cutie	3136	326
13	Fall Weather Friends	2769	349
14	Suited For Success	2777	370
15	Feeling Pinkie Keen	2726	352
16	Sonic Rainboom	2694	299
17	Stare Master	3208	435
18	The Show Stoppers	2442	347
19	A Dog and Pony Show	2499	330
20	Green Isn't Your Color	2587	289
21	Over a Barrel	2513	337
22	A Bird in the Hoof	2544	302
23	The Cutie Mark Chronicles	2584	337
24	Owl's Well That Ends Well	2313	274
25	Party of One	3016	373
26	The Best Night Ever	2742	492
27	The Return of Harmony Part 1	2613	289
28	The Return of Harmony Part 2	2350	284
29	Lesson Zero	2997	334
30	Luna Eclipsed	2650	318
31	Sisterhooves Social	2605	288
32	The Cutie Pox	2332	275
33	May the Best Pet Win!	2497	385
34	The Mysterious Mare Do Well	2247	254
35	Sweet and Elite	2911	343
36	Secret of My Excess	2221	271
37	Hearth's Warming Eve	3958	355
38	Family Appreciation Day	2658	294
39	Baby Cakes	2276	304
40	The Last Roundup	2661	323
41	The Super Speedy Cider Squeezy 6000	2942	493
42	Read It and Weep	2095	264
43	Hearts and Hooves Day	2851	417
44	A Friend in Deed	2792	374
45	Putting Your Hoof Down	3038	361
46	It's About Time	3200	321
47	Dragon Quest	2652	357
48	Hurricane Fluttershy	2351	306
49	Ponyville Confidential	2999	330
50	MMMystery on the Friendship Express	2664	290
51	A Canterlot Wedding - Part 1	3093	353
52	A Canterlot Wedding - Part 2	1998	288
53	The Crystal Empire - Part 1	2722	375
54	The Crystal Empire - Part 2	2563	378
55	Too Many Pinkie Pies	3411	378
56	One Bad Apple	2759	398
57	Magic Duel	2471	339
58	Sleepless in Ponyville	2615	336
59	Wonderbolts Academy	2578	303
60	Apple Family Reunion	3102	453
61	Spike at Your Service	2998	363
62	Keep Calm and Flutter On	3177	344
63	Just for Sidekicks	2882	362
64	Games Ponies Play	3419	365
65	Magical Mystery Cure	2656	413
66	Princess Twilight Sparkle - Part 1	2843	327
67	Princess Twilight Sparkle - Part 2	2170	244
68	Castle Mane-ia	2754	361
69	Daring Don't	2732	289
70	Flight to the Finish	2996	350
71	Power Ponies	2746	301
72	Bats!	2580	340
73	Rarity Takes Manehattan	3099	345
74	Pinkie Apple Pie	3066	373
75	Rainbow Falls	2673	324
76	Three's A Crowd	3136	399
77	Pinkie Pride	3010	469
78	Simple Ways	2851	319
79	Filli Vanilli	2877	478
80	Twilight Time	3075	332
81	It Ain't Easy Being Breezies	2623	282
82	Somepony to Watch Over Me	2397	269
83	Maud Pie (episode)	3026	347
84	For Whom the Sweetie Belle Toils	2941	331
85	Leap of Faith	2876	372
86	Testing Testing 1, 2, 3	3308	445
87	Trade Ya!	3144	304
88	Inspiration Manifestation	2514	294
89	Equestria Games	2661	296
90	Twilight's Kingdom - Part 1	2882	342
91	Twilight's Kingdom - Part 2	2064	279
92	The Cutie Map - Part 1	2860	324
93	The Cutie Map - Part 2	2881	315
94	Castle Sweet Castle	3170	404
95	Bloom &amp; Gloom	2842	334
96	Tanks for the Memories	2214	329
97	Appleoosa's Most Wanted	2724	343
98	Make New Friends but Keep Discord	2843	312
99	The Lost Treasure of Griffonstone	3004	355
100	Slice of Life	2668	288
101	Princess Spike	2848	324
102	Party Pooped	2857	338
103	Amending Fences	2893	312
104	Do Princesses Dream of Magic Sheep?	2317	299
105	Canterlot Boutique	2889	326
106	Rarity Investigates!	3421	315
107	Made in Manehattan	3160	334
108	Brotherhooves Social	3050	375
109	Crusaders of the Lost Mark	3122	545
110	The One Where Pinkie Pie Knows	2910	345
111	Hearthbreakers	2994	330
112	Scare Master	2741	324
113	What About Discord?	3292	342
114	The Hooffields and McColts	2864	329
115	The Mane Attraction	2900	367
116	The Cutie Re-Mark - Part 1	2593	319
117	The Cutie Re-Mark - Part 2	2669	340
118	The Crystalling - Part 1	3147	357
119	The Crystalling - Part 2	3055	358
120	The Gift of the Maud Pie	3480	347
121	On Your Marks	2896	365
122	Gauntlet of Fire	2819	317
123	No Second Prances	2945	328
124	Newbie Dash	3025	368
125	A Hearth's Warming Tail	3538	511
126	The Saddle Row Review	3151	365
127	Applejack's &quot;Day&quot; Off	2944	307
128	Flutter Brutter	3197	388
129	Spice Up Your Life	3225	393
130	Stranger Than Fan Fiction	3492	372
131	The Cart Before the Ponies	2973	400
132	28 Pranks Later	2572	366
133	The Times They Are A Changeling	2906	341
134	Dungeons &amp; Discords	3085	379
135	Buckball Season	2881	354
136	The Fault in Our Cutie Marks	3540	392
137	Viva Las Pegasus	3483	353
138	Every Little Thing She Does	3118	318
139	P.P.O.V. (Pony Point of View)	2976	346
140	Where the Apple Lies	3798	320
141	Top Bolt	2996	354
142	To Where and Back Again - Part 1	2890	314
143	To Where and Back Again - Part 2	2849	305
144	Celestial Advice	3195	379
145	All Bottled Up	3238	408
146	A Flurry of Emotions	2885	389
147	Rock Solid Friendship	2956	364
148	Fluttershy Leans In	2756	286
149	Forever Filly	2618	308
150	Parental Glideance	2790	382
151	Hard to Say Anything	2712	399
152	Honest Apple	2927	343
153	A Royal Problem	3206	357
154	Not Asking for Trouble	2857	356
155	Discordant Harmony	2788	370
156	The Perfect Pear	3165	360
157	Fame and Misfortune	3124	416
158	Triple Threat	3208	379
159	Campfire Tales	2813	380
160	To Change a Changeling	3207	348
161	Daring Done?	3184	313
162	It Isn't the Mane Thing About You	3032	359
163	A Health of Information	2903	338
164	Marks and Recreation	3119	461
165	Once Upon a Zeppelin	3133	342
166	Secrets and Pies	3246	368
167	Uncommon Bond	2794	343
168	Shadow Play - Part 1	2976	324
169	Shadow Play - Part 2	3258	343
170	School Daze - Part 1	3091	435
171	School Daze - Part 2	2869	426
172	The Maud Couple	2962	343
173	Fake It 'Til You Make It	2918	340
174	Grannies Gone Wild	2762	292
175	Surf and or Turf	2850	398
176	Horse Play	3186	349
177	The Parent Map	2931	329
178	Non-Compete Clause	2550	390
179	The Break Up Break Down	3129	387
180	Molt Down	2795	315
181	Marks for Effort	2724	344
182	The Mean 6	3112	376
183	A Matter of Principals	2801	390
184	The Hearth's Warming Club	2902	366
185	Friendship University	3260	425
186	The End in Friend	2978	349
187	Yakity-Sax	2752	348
188	Road to Friendship	3073	402
189	The Washouts	2986	334
190	A Rockhoof and a Hard Place	3043	339
191	What Lies Beneath	2845	361
192	Sounds of Silence	2923	395
193	Father Knows Beast	2957	398
194	School Raze - Part 1	2947	359
195	School Raze - Part 2	3177	383
196	The Beginning of the End - Part 1	3121	349
197	The Beginning of the End - Part 2	2787	362
198	Uprooted	2611	420
199	Sparkle's Seven	3015	369
200	The Point of No Return	2916	334
201	Common Ground	3428	356
202	She's All Yak	2875	476
203	Frenemies	2944	474
204	Sweet and Smoky	2978	368
205	Going to Seed	2959	381
206	Student Counsel	3175	422
207	The Last Crusade	3076	333
208	Between Dark and Dawn	2963	420
209	The Last Laugh	3336	455
210	2, 4, 6, Greaaat	3032	401
211	A Trivial Pursuit	3240	392
212	The Summer Sun Setback	2933	361
213	She Talks to Angel	3049	360
214	Dragon Dropped	2865	341
215	A Horse Shoe-In	3453	385
216	Daring Doubt	3024	336
217	Growing Up is Hard to Do	3072	403
218	The Big Mac Question	3075	429
219	The Ending of the End - Part 1	2950	392
220	The Ending of the End - Part 2	3176	408
221	The Last Problem	3487	427
222	My Little Pony Equestria Girls	8869	1117
223	My Little Pony Equestria Girls: Rainbow Rocks/Animated shorts	2869	510
224	My Little Pony Equestria Girls: Rainbow Rocks	9923	1534
225	My Little Pony Equestria Girls: Friendship Games/Animated shorts	1424	208
226	My Little Pony Equestria Girls: Friendship Games	9498	1470
227	My Little Pony Equestria Girls: Legend of Everfree	10092	1346
228	My Little Pony Equestria Girls: Dance Magic	3152	389
229	My Little Pony Equestria Girls: Movie Magic	3443	372
230	My Little Pony Equestria Girls: Mirror Magic	2880	350
231	My Little Pony Equestria Girls: Summertime Shorts	4742	982
232	My Little Pony Equestria Girls: Better Together (season 1)	8375	1299
233	My Little Pony Equestria Girls: Better Together (season 2)	5885	1046
234	My Little Pony Equestria Girls: Choose Your Own Ending (season 1)	14981	1888
235	My Little Pony Equestria Girls: Choose Your Own Ending (season 1)	5840	754
236	My Little Pony Equestria Girls: Rollercoaster of Friendship	6556	819
237	My Little Pony Equestria Girls: Spring Breakdown	4726	751
238	My Little Pony Equestria Girls: Sunset's Backstage Pass	5885	892
239	My Little Pony Equestria Girls: Holidays Unwrapped	4804	698
240	My Little Pony The Movie	10667	1877
241	My Little Pony Best Gift Ever	6276	938
242	My Little Pony Friendship is Magic/Animated shorts	2614	381
243	My Little Pony: Rainbow Roadtrip	8232	1105
